"#SampleID	"
"#q2:types	"
Sp1of27EMP
Sp2of27EMP
Sp3of27EMP
Sp4of27EMP
Sp5of27EMP
Sp6of27EMP
Sp7of27EMP
Sp8of27EMP
Sp9of27EMP
Sp10of27EMP
Sp11of27EMP
Sp12of27EMP
Sp13of27EMP
Sp14of27EMP
Sp15of27EMP
Sp16of27EMP
Sp17of27EMP
Sp18of27EMP
Sp19of27EMP
Sp20of27EMP
Sp21of27EMP
Sp22of27EMP
Sp23of27EMP
Sp24of27EMP
Sp25of27EMP
Sp26of27EMP
Sp27of27EMP
chloroEMP
NannoEMP
Sp1of27TR18
Sp2of27TR18
Sp3of27TR18
Sp4of27TR18
Sp5of27TR18
Sp6of27TR18
Sp7of27TR18
Sp8of27TR18
Sp9of27TR18
Sp10of27TR18
Sp11of27TR18
Sp12of27TR18
Sp13of27TR18
Sp14of27TR18
Sp15of27TR18
Sp16of27TR18
Sp17of27TR18
Sp18of27TR18
Sp19of27TR18
Sp20of27TR18
Sp21of27TR18
Sp22of27TR18
Sp23of27TR18
Sp24of27TR18
Sp25of27TR18
Sp26of27TR18
Sp27of27TR18
